id_com,pseudo_com,date_post,texte_com
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
 ,NAMA,2026-11-11,bien,
 ,DATPESTOGUY,2026-11-11,bien,
 ,GLTRON,2026-11-11,bien,
